
=== Imprimindo Tabela ===
[0] - Lista vazia!	 Numero de repeticoes: [0]
[1] - Lista vazia!	 Numero de repeticoes: [0]
[2] - Lista vazia!	 Numero de repeticoes: [0]
[3] - Lista vazia!	 Numero de repeticoes: [0]
[4] - Lista vazia!	 Numero de repeticoes: [0]
[5] - Lista vazia!	 Numero de repeticoes: [0]
[6] - Lista vazia!	 Numero de repeticoes: [0]
[7] - Lista vazia!	 Numero de repeticoes: [0]
[8] - Lista vazia!	 Numero de repeticoes: [0]
[9] - Lista vazia!	 Numero de repeticoes: [0]
[10] - Lista vazia!	 Numero de repeticoes: [0]
[11] - Lista vazia!	 Numero de repeticoes: [0]
[12] - Lista vazia!	 Numero de repeticoes: [0]
[13] - Lista vazia!	 Numero de repeticoes: [0]
[14] - Lista vazia!	 Numero de repeticoes: [0]
[15] - Lista vazia!	 Numero de repeticoes: [0]
[16] - Lista vazia!	 Numero de repeticoes: [0]
[17] - Lista vazia!	 Numero de repeticoes: [0]
[18] - Lista vazia!	 Numero de repeticoes: [0]
[19] - Lista vazia!	 Numero de repeticoes: [0]
[20] - Lista vazia!	 Numero de repeticoes: [0]
[21] - Lista vazia!	 Numero de repeticoes: [0]
[22] - Lista vazia!	 Numero de repeticoes: [0]
[23] - Lista vazia!	 Numero de repeticoes: [0]
[24] - Lista vazia!	 Numero de repeticoes: [0]
[25] - Lista vazia!	 Numero de repeticoes: [0]
[26] - Lista vazia!	 Numero de repeticoes: [0]
[27] - Lista vazia!	 Numero de repeticoes: [0]
[28] - Lista vazia!	 Numero de repeticoes: [0]
[29] - Lista vazia!	 Numero de repeticoes: [0]
[30] - Lista vazia!	 Numero de repeticoes: [0]
[31] - Lista vazia!	 Numero de repeticoes: [0]
[32] - Lista vazia!	 Numero de repeticoes: [0]
[33] - Lista vazia!	 Numero de repeticoes: [0]
[34] - Lista vazia!	 Numero de repeticoes: [0]
[35] - Lista vazia!	 Numero de repeticoes: [0]
[36] - Lista vazia!	 Numero de repeticoes: [0]
[37] - Lista vazia!	 Numero de repeticoes: [0]
[38] - Lista vazia!	 Numero de repeticoes: [0]
[39] - Lista vazia!	 Numero de repeticoes: [0]
[40] - Lista vazia!	 Numero de repeticoes: [0]
[41] - Lista vazia!	 Numero de repeticoes: [0]
[42] - Lista vazia!	 Numero de repeticoes: [0]
[43] - Lista vazia!	 Numero de repeticoes: [0]
[44] - Lista vazia!	 Numero de repeticoes: [0]
[45] - Lista vazia!	 Numero de repeticoes: [0]
[46] - Lista vazia!	 Numero de repeticoes: [0]
[47] - Lista vazia!	 Numero de repeticoes: [0]
[48] - Lista vazia!	 Numero de repeticoes: [0]
[49] - Lista vazia!	 Numero de repeticoes: [0]
[50] - Lista vazia!	 Numero de repeticoes: [0]
[51] - Lista vazia!	 Numero de repeticoes: [0]
[52] - Lista vazia!	 Numero de repeticoes: [0]
[53] - Lista vazia!	 Numero de repeticoes: [0]
[54] - Lista vazia!	 Numero de repeticoes: [0]
[55] - Lista vazia!	 Numero de repeticoes: [0]
[56] - Lista vazia!	 Numero de repeticoes: [0]
[57] - Lista vazia!	 Numero de repeticoes: [0]
[58] - Lista vazia!	 Numero de repeticoes: [0]
[59] - Lista vazia!	 Numero de repeticoes: [0]
[60] - Lista vazia!	 Numero de repeticoes: [0]
[61] - Lista vazia!	 Numero de repeticoes: [0]
[62] - Lista vazia!	 Numero de repeticoes: [0]
[63] - Lista vazia!	 Numero de repeticoes: [0]
[64] - Lista vazia!	 Numero de repeticoes: [0]
[65] - resurgindo 	 Numero de repeticoes: [1]
[66] - Lista vazia!	 Numero de repeticoes: [0]
[67] - Lista vazia!	 Numero de repeticoes: [0]
[68] - Lista vazia!	 Numero de repeticoes: [0]
[69] - Lista vazia!	 Numero de repeticoes: [0]
[70] - Lista vazia!	 Numero de repeticoes: [0]
[71] - Lista vazia!	 Numero de repeticoes: [0]
[72] - Lista vazia!	 Numero de repeticoes: [0]
[73] - Lista vazia!	 Numero de repeticoes: [0]
[74] - Lista vazia!	 Numero de repeticoes: [0]
[75] - Lista vazia!	 Numero de repeticoes: [0]
[76] - Lista vazia!	 Numero de repeticoes: [0]
[77] - Lista vazia!	 Numero de repeticoes: [0]
[78] - Lista vazia!	 Numero de repeticoes: [0]
[79] - Lista vazia!	 Numero de repeticoes: [0]
[80] - Lista vazia!	 Numero de repeticoes: [0]
[81] - Lista vazia!	 Numero de repeticoes: [0]
[82] - Lista vazia!	 Numero de repeticoes: [0]
[83] - Lista vazia!	 Numero de repeticoes: [0]
[84] - Lista vazia!	 Numero de repeticoes: [0]
[85] - Lista vazia!	 Numero de repeticoes: [0]
[86] - Lista vazia!	 Numero de repeticoes: [0]
[87] - Lista vazia!	 Numero de repeticoes: [0]
[88] - Lista vazia!	 Numero de repeticoes: [0]
[89] - Lista vazia!	 Numero de repeticoes: [0]
[90] - Lista vazia!	 Numero de repeticoes: [0]
[91] - Lista vazia!	 Numero de repeticoes: [0]
[92] - Lista vazia!	 Numero de repeticoes: [0]
[93] - Lista vazia!	 Numero de repeticoes: [0]
[94] - Lista vazia!	 Numero de repeticoes: [0]
[95] - Lista vazia!	 Numero de repeticoes: [0]
[96] - Lista vazia!	 Numero de repeticoes: [0]
[97] - Lista vazia!	 Numero de repeticoes: [0]
[98] - Lista vazia!	 Numero de repeticoes: [0]
[99] - Lista vazia!	 Numero de repeticoes: [0]
[100] - Lista vazia!	 Numero de repeticoes: [0]
[101] - Lista vazia!	 Numero de repeticoes: [0]
[102] - Lista vazia!	 Numero de repeticoes: [0]
[103] - Lista vazia!	 Numero de repeticoes: [0]
[104] - Lista vazia!	 Numero de repeticoes: [0]
[105] - Lista vazia!	 Numero de repeticoes: [0]
[106] - Lista vazia!	 Numero de repeticoes: [0]
[107] - Lista vazia!	 Numero de repeticoes: [0]
[108] - Lista vazia!	 Numero de repeticoes: [0]
[109] - Lista vazia!	 Numero de repeticoes: [0]
[110] - Lista vazia!	 Numero de repeticoes: [0]
[111] - Lista vazia!	 Numero de repeticoes: [0]
[112] - Lista vazia!	 Numero de repeticoes: [0]
[113] - Lista vazia!	 Numero de repeticoes: [0]
[114] - Lista vazia!	 Numero de repeticoes: [0]
[115] - Lista vazia!	 Numero de repeticoes: [0]
[116] - Lista vazia!	 Numero de repeticoes: [0]
[117] - Lista vazia!	 Numero de repeticoes: [0]
[118] - Lista vazia!	 Numero de repeticoes: [0]
[119] - Lista vazia!	 Numero de repeticoes: [0]
[120] - Lista vazia!	 Numero de repeticoes: [0]
[121] - Lista vazia!	 Numero de repeticoes: [0]
[122] - Lista vazia!	 Numero de repeticoes: [0]
[123] - Lista vazia!	 Numero de repeticoes: [0]
[124] - Lista vazia!	 Numero de repeticoes: [0]
[125] - Lista vazia!	 Numero de repeticoes: [0]
[126] - Lista vazia!	 Numero de repeticoes: [0]
[127] - Lista vazia!	 Numero de repeticoes: [0]
[128] - Lista vazia!	 Numero de repeticoes: [0]
[129] - Lista vazia!	 Numero de repeticoes: [0]
[130] - Lista vazia!	 Numero de repeticoes: [0]
[131] - Lista vazia!	 Numero de repeticoes: [0]
